id;Question;Answer;FalseAnswer1;FalseAnswer2;FalseAnswer3
1;Quel pays possède le plus grand nombre d’iles dans le monde ?;la Suède;La France;La Finlande;Les USA
2;Quel est le plus petit pays du monde ?;le Vatican;Monaco;Le Tuvalu;La Suisse
3;Quelle est la capitale du Canada ?;Ottawa;Toronto;Vancouver;Montreal
4;Quel est le plus long fleuve du monde ?;le Nil;L'Amazone;Le Congo ;le Rhin
5;Quel artiste a peint le plafond de la chapelle Sixtine à Rome ?;Michel-Ange;Leonard de Vinci;Rembrandt;Vincent Van Gogh
6;Quelle peinture emblématique a fait la renommée de l’artiste norvégien Edvard Munch ?;Le Cri;La nuit etoilee;La Jeune Fille a la Perle;Mona Lisa
7;En quelle année le métro de Londres a-t-il été ouvert ?;1863;1903;1853;1893
8;De quelle ville les Beatles sont-ils originaires ?;Liverpool;Londres;Manchester;Bristol
9;De combien de touches un piano classique est-il doté ?;88;100;74;80
10;Dans quelle ville les premiers Jeux olympiques modernes se sont-ils tenus ?;Athènes;Delphes;Paris;Rome
11;En quelle année Netflix a-t-il été créé;1997;2001;2009;2015
12;Citez le nom du premier long métrage de Pixar ?;Toy Story;Cars;Monstres & Cie;Le Monde de Nemo
13;Citez le nom du premier film de Disney ?;Blanche-Neige;Le Roi Lion;Bambi;Le Livre de la Jingle
14;Quel est le numéro de département du Finistère ?;29;22;15;37
15;Quel est le prénom de la fiancée de Popeye ?;Olive;Barbara;Rose;Nicole
16;Comment s'appelle le frère de Mario, le héros de jeux vidéo ?;Luigi;Yoshi;Wario;Diddy Kong
17;Comment appelle-t-on le petit de la brebis ?;Un agneau;Un veau;Un mouton;Un chevreau
18;Comment appelle-t-on l'explosion qui serait à l'origine de l'expansion de l'Univers ?;Le Big Bang;Le Grand Boom;L'Enorme Paf;La Deflagration Geante
19;Dans quelle articulation du corps humain se situe la rotule ?;Le genou;Le coude;Le cou;Le bassin
20;Combien de canines comporte la denture d'un homme adulte ?;4;2;6;8
